地点ID,地点名,问题类型,问题描述,当前值
"P210","颍州颍水","sub_coord_dup","子地点坐标重复","盐官县衙和西湖坐标相同(32.883322,115.806916)"
"P210","颍州颍水","no_famous_line","无代表名句",""
"P211","渝州","no_famous_line","无代表名句",""
"P212","郁林","no_famous_line","无代表名句",""
"P214","筠州","sub_coord_dup","子地点坐标重复","筠州官署和大观楼坐标相同(28.448054,115.366863)"
"P214","筠州","no_famous_line","无代表名句",""
"P215","运河全线风光","no_poems","无关联诗词",""
"P215","运河全线风光","no_famous_line","无代表名句",""
"P216","郓州","sub_coord_dup","子地点坐标重复","余杭县衙和郓州古城坐标相同(35.575276,115.938939)"
"P216","郓州","no_famous_line","无代表名句",""
"P218","漳河渡口","no_famous_line","无代表名句",""
"P219","长安","sub_coord_dup","子地点坐标重复","袁州官署和西安碑林坐标相同(34.256727,108.940681)"
"P219","长安","no_famous_line","无代表名句",""
"P220","长安曲江","sub_coord_dup","子地点坐标重复","岳州官署和西安碑林坐标相同(34.343207,108.939645)"
"P220","长安曲江","no_famous_line","无代表名句",""
"P221","长岛渡口","no_poems","无关联诗词",""
"P221","长岛渡口","no_famous_line","无代表名句",""
"P222","长江","no_famous_line","无代表名句",""
"P223","长江南岸渡口","no_famous_line","无代表名句",""
"P224","长江下游全线","no_famous_line","无代表名句",""
"P225","长江沿岸渡口","no_famous_line","无代表名句",""
"P226","真定","no_famous_line","无代表名句",""
"P227","镇江金山寺","sub_coord_dup","子地点坐标重复","金山寺和焦山坐标相同(32.188141,119.424441)"
"P228","中和古镇","poi_mismatch","POI偏差27.2km","place=(19.5215,109.4768) poi=(19.738253,109.356212)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","中和古镇州衙和儋州安置坐标相同(19.681,109.561)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","中和古镇州衙和、没有像样的食物吃、没有像样的医生看病、没有像样的书读坐标相同(19.681,109.561)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","中和古镇州衙和为'琼州别驾、昌化军安置'坐标相同(19.681,109.561)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","中和古镇州衙和在'桄榔庵'（用桄榔树叶搭的棚屋）坐标相同(19.681,109.561)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","儋州安置和、没有像样的食物吃、没有像样的医生看病、没有像样的书读坐标相同(19.681,109.561)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","儋州安置和为'琼州别驾、昌化军安置'坐标相同(19.681,109.561)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","儋州安置和在'桄榔庵'（用桄榔树叶搭的棚屋）坐标相同(19.681,109.561)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","、没有像样的食物吃、没有像样的医生看病、没有像样的书读和为'琼州别驾、昌化军安置'坐标相同(19.681,109.561)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","、没有像样的食物吃、没有像样的医生看病、没有像样的书读和在'桄榔庵'（用桄榔树叶搭的棚屋）坐标相同(19.681,109.561)"
"P228","中和古镇","sub_coord_dup","子地点坐标重复","为'琼州别驾、昌化军安置'和在'桄榔庵'（用桄榔树叶搭的棚屋）坐标相同(19.681,109.561)"
"P228","中和古镇","no_famous_line","无代表名句",""
"P229","中岩寺","no_famous_line","无代表名句",""
"P230","忠州","no_famous_line","无代表名句",""
"P231","资善堂","no_famous_line","无代表名句",""
"P232","淄州","no_famous_line","无代表名句",""
"P233","秭归","no_famous_line","无代表名句",""
"P234","梓潼","no_famous_line","无代表名句",""
